,Source,Target,Weight,Title
0,6969,8134,22,"House IV Transformation Study, project, Falls Village, Connecticut, Multiple axonometrics"
1,6956,6957,77,"Villa dall'Ava, Paris (Saint-Cloud), France, Exterior perspective"
2,8131,7661,21,"Regional Administrative Center, project ""Trieste e una Donna."" , Trieste, Italy, Competition design: Elevation and section"
3,8180,7661,21,"Regional Administrative Center, project ""Trieste e una Donna."" , Trieste, Italy, Competition design: Elevation and section"
4,8131,8180,21,"Regional Administrative Center, project ""Trieste e una Donna."" , Trieste, Italy, Competition design: Elevation and section"
5,27,24452,37,"Woodland Crematorium, Woodland Cemetery, Stockholm, Sweden, Site plan and section, final version"
6,4312,6703,34,"Palais de la Découverte Project, Paris, France, Elevation"
7,4312,8102,34,"Palais de la Découverte Project, Paris, France, Elevation"
8,8102,6703,34,"Palais de la Découverte Project, Paris, France, Elevation"
9,4312,6703,34,"Palais de la Découverte Project, Paris, France, Longitudinal section"
10,4312,8102,34,"Palais de la Découverte Project, Paris, France, Longitudinal section"
11,8102,6703,34,"Palais de la Découverte Project, Paris, France, Longitudinal section"
12,4312,6703,34,"Palais de la Découverte Project, Paris, France, Aerial perspective"
13,4312,8102,34,"Palais de la Découverte Project, Paris, France, Aerial perspective"
14,8102,6703,34,"Palais de la Découverte Project, Paris, France, Aerial perspective"
15,4312,6703,34,"Palais de la Découverte Project, Paris, France, Plan of upper level and exhibits"
16,4312,8102,34,"Palais de la Découverte Project, Paris, France, Plan of upper level and exhibits"
17,8102,6703,34,"Palais de la Découverte Project, Paris, France, Plan of upper level and exhibits"
18,6952,6951,13,"Slow House Project, North Haven, New York, Plan of lower-level and sections"
19,8707,6951,13,"Slow House Project, North Haven, New York, Plan of lower-level and sections"
20,6952,8707,13,"Slow House Project, North Haven, New York, Plan of lower-level and sections"
21,6956,6957,132,"Egg of Columbus Circle, project, New York, New York, Axonometric"
22,6956,7558,132,"Egg of Columbus Circle, project, New York, New York, Axonometric"
23,6956,7559,132,"Egg of Columbus Circle, project, New York, New York, Axonometric"
24,6957,7558,132,"Egg of Columbus Circle, project, New York, New York, Axonometric"
25,6957,7559,132,"Egg of Columbus Circle, project, New York, New York, Axonometric"
26,7558,7559,132,"Egg of Columbus Circle, project, New York, New York, Axonometric"
27,6132,8213,29,"City Hall, project, North Canton, Ohio, Perspective sketch"
28,6132,8214,29,"City Hall, project, North Canton, Ohio, Perspective sketch"
29,8213,8214,29,"City Hall, project, North Canton, Ohio, Perspective sketch"
30,6132,8213,35,"House, Northern Delaware, Preliminary study of west elevation"
31,6132,8214,35,"House, Northern Delaware, Preliminary study of west elevation"
32,8216,6132,35,"House, Northern Delaware, Preliminary study of west elevation"
33,8213,8214,35,"House, Northern Delaware, Preliminary study of west elevation"
34,8216,8213,35,"House, Northern Delaware, Preliminary study of west elevation"
35,8216,8214,35,"House, Northern Delaware, Preliminary study of west elevation"
36,6132,8214,34,"Gordon Wu Hall, Princeton University, Princeton, New Jersey, Preliminary study of entrance and windows"
37,6132,8215,34,"Gordon Wu Hall, Princeton University, Princeton, New Jersey, Preliminary study of entrance and windows"
38,8216,6132,34,"Gordon Wu Hall, Princeton University, Princeton, New Jersey, Preliminary study of entrance and windows"
39,8214,8215,34,"Gordon Wu Hall, Princeton University, Princeton, New Jersey, Preliminary study of entrance and windows"
40,8216,8214,34,"Gordon Wu Hall, Princeton University, Princeton, New Jersey, Preliminary study of entrance and windows"
41,8216,8215,34,"Gordon Wu Hall, Princeton University, Princeton, New Jersey, Preliminary study of entrance and windows"
42,6132,8214,34,"Gordon Wu Hall, Princeton University, Princeton, New Jersey, Preliminary study of entrance and elevation"
43,6132,8215,34,"Gordon Wu Hall, Princeton University, Princeton, New Jersey, Preliminary study of entrance and elevation"
44,8216,6132,34,"Gordon Wu Hall, Princeton University, Princeton, New Jersey, Preliminary study of entrance and elevation"
45,8214,8215,34,"Gordon Wu Hall, Princeton University, Princeton, New Jersey, Preliminary study of entrance and elevation"
46,8216,8214,34,"Gordon Wu Hall, Princeton University, Princeton, New Jersey, Preliminary study of entrance and elevation"
47,8216,8215,34,"Gordon Wu Hall, Princeton University, Princeton, New Jersey, Preliminary study of entrance and elevation"
48,6132,8214,34,"Lewis Thomas Laboratory for Molecular Biology, Princeton University, Princeton, New Jersey, Preliminary study of entrance and elevation"
49,6132,8215,34,"Lewis Thomas Laboratory for Molecular Biology, Princeton University, Princeton, New Jersey, Preliminary study of entrance and elevation"
50,8216,6132,34,"Lewis Thomas Laboratory for Molecular Biology, Princeton University, Princeton, New Jersey, Preliminary study of entrance and elevation"
51,8214,8215,34,"Lewis Thomas Laboratory for Molecular Biology, Princeton University, Princeton, New Jersey, Preliminary study of entrance and elevation"
52,8216,8214,34,"Lewis Thomas Laboratory for Molecular Biology, Princeton University, Princeton, New Jersey, Preliminary study of entrance and elevation"
53,8216,8215,34,"Lewis Thomas Laboratory for Molecular Biology, Princeton University, Princeton, New Jersey, Preliminary study of entrance and elevation"
54,8112,6076,44,Contra-Construction Project (Axonometric)
55,6934,8103,23,"Ibirapuera Park project, São Paulo, Brazil (Site plan)"
56,6934,8103,23,"Ibirapuera Park Project, São Paulo, Brazil (Perspective)"
57,8218,22884,12,"Sixth Street House project, Santa Monica, California, Sixth Street: Figure 2"
58,8218,22884,12,"Sixth Street House project, Santa Monica, California"
59,8218,22884,12,"Sixth Street House project, Santa Monica, California, Sixth Street: Figure 6"
60,8218,22884,13,"Sixth Street House project, Santa Monica, California, Isometrics and plan"
61,8218,29711,13,"Sixth Street House project, Santa Monica, California, Isometrics and plan"
62,22884,29711,13,"Sixth Street House project, Santa Monica, California, Isometrics and plan"
63,6956,6957,132,"Boompjes Tower Slab, project, Rotterdam, The Netherlands, Perspective"
64,6956,7558,132,"Boompjes Tower Slab, project, Rotterdam, The Netherlands, Perspective"
65,6956,7559,132,"Boompjes Tower Slab, project, Rotterdam, The Netherlands, Perspective"
66,6957,7558,132,"Boompjes Tower Slab, project, Rotterdam, The Netherlands, Perspective"
67,6957,7559,132,"Boompjes Tower Slab, project, Rotterdam, The Netherlands, Perspective"
68,7558,7559,132,"Boompjes Tower Slab, project, Rotterdam, The Netherlands, Perspective"
69,27,24452,37,"Woodland Chapel, Woodland Cemetery, Stockholm, Sweden, Front perspective, sketch"
