Artist ID,Name,Nationality,Birth Year,Work Count
1,Robert Arneson,American,1930.0,2
2,Doroteo Arnaiz,Spanish,1936.0,1
3,Bill Arnold,American,1941.0,26
4,Charles Arnoldi,American,1946.0,1
5,Per Arnoldi,Danish,1941.0,18
6,Danilo Aroldi,Italian,1925.0,1
7,Bill Aron,American,1941.0,1
9,David Aronson,American,1923.0,1
10,Irene Aronson,American,1918.0,1
11,Jean (Hans) Arp,French,1886.0,230
12,Jüri Arrak,Estonian,1936.0,1
13,J. Arrelano Fischer,Mexican,1911.0,1
15,Folke Arstrom,Swedish,1907.0,1
16,Cristobal Arteche,Spanish,1900.0,1
18,Artko,,,1
19,Richard Artschwager,American,1923.0,56
21,Ruth Asawa,American,1926.0,55
22,Isidora Aschheim,Israeli,,1
23,Charles Robert Ashbee,British,1863.0,1
24,Donald Ashcraft,American,1927.0,1
25,E. M. Ashe,American,1867.0,1
26,Göran Åslin,Swedish,1940.0,2
27,Erik Gunnar Asplund,Swedish,1885.0,35
28,Geneviève Asse,French,1923.0,50
30,Sergio Asti,Italian,1926.0,7
31,Dana Atchley,American,1941.0,7
32,Atelier Eggers,French,,1
33,A.A.P.,American,,1
34,Alvar Aalto,Finnish,1898.0,41
35,Aino Aalto,Finnish,1894.0,1
36,Eero Aarnio,Finnish,1932.0,2
37,Jules Aarons,American,1921.0,2
38,Magdalena Abakanowicz,Polish,1930.0,6
39,James Abbe,American,1883.0,1
40,Jussuff Abbo,British,1888.0,2
41,Berenice Abbott,American,1898.0,76
42,Nobuya Abe,Japanese,1913.0,3
43,Abe Shiro (pen Name: Suichiku),Japanese,1900.0,1
44,Robert Abel,American,1937.0,1
46,Sigmund Abeles,American,1934.0,1
47,Raimund Abraham,American,1933.0,20
49,Ivor Abrahams,British,1935.0,1
50,Gerald Abramovitz,British,1928.0,1
51,William Ross Abrams,American,1920.0,1
52,Rodolfo Abularach,Guatemalan,1933.0,42
53,Vito Acconci,American,1940.0,74
54,Milton Ackoff,American,1915.0,2
55,Norman Ackroyd,British,,3
56,Luis Alberto Acuña,Colombian,1904.0,1
57,Henri Georges Adam,French,1904.0,17
58,Antoine Samuel Adam-Salomon,French,1818.0,4
59,Valerio Adami,Italian,1935.0,4
60,Ansel Adams,American,1902.0,290
61,Alice Adams,American,1930.0,2
62,Clinton Adams,American,1918.0,62
63,Dacres Adams,British,1864.0,1
64,Dennis Adams,American,1948.0,1
65,Kenneth M. Adams,American,1897.0,1
66,Robert Adams,American,1937.0,72
67,Shelby Lee Adams,American,1950.0,1
68,Charles Addams,American,1912.0,3
69,Allan Adler,American,1916.0,1
70,Jankel Adler,Polish,1895.0,1
71,Virginia Admiral,American,1915.0,1
72,Pic Adrian,Romanian,1910.0,11
74,Roy Adzak,British,1927.0,1
76,Nicholas Africano,American,1948.0,2
77,Afro (Afro Basaldella),Italian,1912.0,3
78,Aftograf,Russian,,2
79,Agam (Yaacov Agam),Israeli,1928.0,3
80,Mehemed Fehmy Agha,American,1896.0,1
81,Kathleen Agnoli,American,1945.0,2
82,Peter Agostini,American,1913.0,1
83,Olympe Aguado de las Marismas,French,1827.0,3
84,Dongkuk S. Ahn,American,1937.0,1
85,Aarne Aho,Finnish,1904.0,1
86,Otl Aicher (also known as Otto Aicher),German,1922.0,36
87,Lucien Aigner,American,1901.0,2
88,Gregory Ain,American,1908.0,2
89,Edgar Ainsworth,British,1906.0,3
91,Roberto Aizenberg,Argentine,1928.0,2
92,Kinji Akagawa,Japanese,1940.0,7
93,Ryoji Akiyama,Japanese,1942.0,10
94,Munira Al-Kazi,Kuwaiti,1939.0,1
95,Alastair (Hans H. Voight),German,1887.0,1
96,Anni Albers,American,1899.0,197
97,Josef Albers,American,1888.0,296
98,Beatrice Albert,American,,1
99,Joan Albert,American,1943.0,6
100,Ivan Le Lorraine Albright,American,1897.0,6
101,Album-miscellaneous,Various,,388
103,Albert Alcalay,American,1917.0,1
104,L. (Alfred Lewin Copley) Alcopley,American,1910.0,12
105,A. Alcorn,American,,1
106,Alan Aldridge,British,1943.0,1
107,Pierre Alechinsky,Belgian,1927.0,448
108,Peter Alexander,American,1939.0,16
111,Carlo Alfano,Italian,,5
112,José R. Alicea,American,1928.0,4
113,Leopoldo and Guiseppe Alinari,Italian,,3
114,James Alinder,American,1941.0,2
115,Yves Alix,French,1890.0,3
